BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.007554321,1
10,0,10,0.007554321,0,,,0,,0,,0,,,,,0.00642,24
11,1,11,0.00642,1,0.026814321,,0,,0,,0,,,,,0.00642,24
12,2,12,0.00642,2,,,0,,0,,0,,,,,0.00642,24
13,3,13,0.00642,3,,,0,,0,,0,,,,,0.00642,24
20,10,20,0.00642,0,,,1,,0,,0,,,,,0.00642,24
21,11,21,0.00642,1,0.02568,,1,0.103854321,0,,0,,,,,0.00642,24
22,,22,0.00642,2,,,1,,0,,0,,,,,0.00642,24
23,,23,0.00642,3,,,1,,0,,0,,,,,0.00642,24
30,,30,0.00642,0,,,2,,0,,0,,,,,0.00642,24
31,,31,0.00642,1,0.02568,,2,,0,,0,,,,,0.00642,24
32,,32,0.00642,2,,,2,,0,,0,,,,,0.00642,24
33,,33,0.00642,3,,,2,,0,,0,,,,,0.00642,24
030,,030,0.00642,0,,,3,,0,,0,,,,,0.00642,24
031,,031,0.00642,1,0.02568,,3,,0,,0,,,,,0.00642,24
032,,032,0.00642,2,,,3,,0,,0,,,,,0.00642,24
033,,033,0.00642,3,,,3,,0,,0,,,,,0.00642,24
0110,,0110,0.00642,0,,,0,,1,,0,,,,,0.00642,24
0111,,0111,0.00642,1,0.02568,,0,,1,,0,,,,,0.00642,24
0112,,0112,0.00642,2,,,0,,1,,0,,,,,0.00642,24
0113,,0113,0.00642,3,,,0,,1,,0,,,,,0.00642,24
0120,,0120,0.00642,0,,,1,,1,,0,,,,,0.00642,24
0121,,0121,0.00642,1,0.02568,,1,0.09495,1,,0,,,,,0.00642,24
0122,,0122,0.00642,2,,,1,,1,,0,,,,,0.00642,24
0123,,0123,0.00642,3,,,1,,1,0.363224321,0,,,,,0.00642,24
0130,,0130,0.00642,0,,,2,,1,,0,,,,,0.00531,34
0131,,0131,0.00531,1,0.02235,,2,,1,,0,,,,,0.00531,34
0132,,0132,0.00531,2,,,2,,1,,0,,,,,0.00531,34
0133,,0133,0.00531,3,,,2,,1,,0,,,,,0.00531,34
01010,,01010,0.00531,0,,,3,,1,,0,,,,,0.00531,34
01011,,01011,0.00531,1,0.02124,,3,,1,,0,,,,,0.00531,34
01012,,01012,0.00531,2,,,3,,1,,0,,,,,0.00531,34
01013,,01013,0.00531,3,,,3,,1,,0,,,,,0.00531,34
01020,,01020,0.00531,0,,,0,,2,,0,,,,,0.00531,34
01021,,01021,0.00531,1,0.02124,,0,,2,,0,,,,,0.00531,34
01022,,01022,0.00531,2,,,0,,2,,0,,,,,0.00531,34
01023,,01023,0.00531,3,,,0,,2,,0,,,,,0.00531,34
01030,,01030,0.00531,0,,,1,,2,,0,,,,,0.00531,34
01031,,01031,0.00531,1,0.02124,,1,0.08496,2,,0,,,,,0.00531,34
01032,,01032,0.00531,2,,,1,,2,,0,,,,,0.00531,34
01033,,01033,0.00531,3,,,1,,2,,0,,,,,0.00531,34
010000,,010000,0.00531,0,,,2,,2,,0,,,,,0.00531,34
010001,,010001,0.00531,1,0.02124,,2,,2,,0,,,,,0.00531,34
010002,,010002,0.00531,2,,,2,,2,,0,,,,,0.00531,34
010003,,010003,0.00531,3,,,2,,2,,0,,,,,0.00531,34
010010,,010010,0.00531,0,,,3,,2,,0,,,,,0.00531,34
010011,,010011,0.00531,1,0.02124,,3,,2,,0,,,,,0.00531,34
010012,,010012,0.00531,2,,,3,,2,,0,,,,,0.00531,34
010013,,010013,0.00531,3,,,3,,2,,0,,,,,0.00531,34
010020,,010020,0.00531,0,,,0,,3,,0,,,,,0.00531,34
010021,,010021,0.00531,1,0.02124,,0,,3,,0,,,,,0.00531,34
010022,,010022,0.00531,2,,,0,,3,,0,,,,,0.00531,34
010023,,010023,0.00531,3,,,0,,3,,0,,,,,0.00531,34
010030,,010030,0.00531,0,,,1,,3,,0,,,,,0.00531,34
010031,,010031,0.00531,1,0.02124,,1,0.07946,3,,0,,,,,0.00531,34
010032,,010032,0.00531,2,,,1,,3,,0,,,,,0.00531,34
010033,,010033,0.00531,3,,,1,,3,,0,,,,,0.00531,34
0210,,0210,0.00531,0,,,2,,3,,0,,,,,0.00531,34
0211,,0211,0.00531,1,0.02014,,2,,3,,0,,,,,0.00531,34
0212,,0212,0.00531,2,,,2,,3,,0,,,,,0.00421,17
0213,,0213,0.00421,3,,,2,,3,,0,,,,,0.00421,17
0220,,0220,0.00421,0,,,3,,3,,0,,,,,0.00421,17
0221,,0221,0.00421,1,0.01684,,3,,3,,0,,,,,0.00421,17
0222,,0222,0.00421,2,,,3,,3,,0,,,,,0.00421,17
0223,,0223,0.00421,3,,,3,,3,,0,,,,,0.00421,17
0230,,0230,0.00421,0,,,0,,0,,1,,,,,0.00421,17
0231,,0231,0.00421,1,0.01684,,0,,0,,1,,,,,0.00421,17
0232,,0232,0.00421,2,,,0,,0,,1,,,,,0.00421,17
0233,,0233,0.00421,3,,,0,,0,,1,,,,,0.00421,17
02010,,02010,0.00421,0,,,1,,0,,1,,,,,0.00421,17
02011,,02011,0.00421,1,0.01684,,1,0.066822526,0,,1,,,,,0.00421,17
02012,,02012,0.00421,2,,,1,,0,,1,,,,,0.00421,17
02013,,02013,0.00421,3,,,1,,0,,1,,,,,0.00421,17
02020,,02020,0.00421,0,,,2,,0,,1,,,,,0.00421,17
02021,,02021,0.00421,1,0.01684,,2,,0,,1,,,,,0.00421,17
02022,,02022,0.00421,2,,,2,,0,,1,,,,,0.00421,17
02023,,02023,0.00421,3,,,2,,0,,1,,,,,0.0042099,1
02030,,02030,0.0042099,0,,,3,,0,,1,,,,,0.004032669,1
02031,,02031,0.004032669,1,0.016302526,,3,,0,,1,,,,,0.004030875,1
02032,,02032,0.004030875,2,,,3,,0,,1,,,,,0.004029082,1
02033,,02033,0.004029082,3,,,3,,0,,1,,,,,0.004027288,2
020000,,020000,0.004027288,0,,,0,,1,,1,,,,,0.004027288,2
020001,,020001,0.004027288,1,0.016100182,,0,,1,,1,,,,,0.0040237,1
020002,,020002,0.0040237,2,,,0,,1,,1,,,,,0.004021906,1
020003,,020003,0.004021906,3,,,0,,1,,1,,,,,0.004020112,1
020010,,020010,0.004020112,0,,,1,,1,,1,,,,,0.004016524,1
020011,,020011,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
020012,,020012,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
020013,,020013,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
020020,,020020,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
020021,,020021,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
020022,,020022,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
020023,,020023,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
020030,,020030,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
020031,,020031,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
020032,,020032,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
020033,,020033,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
00010,,00010,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
00011,,00011,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
00012,,00012,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
00013,,00013,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
00020,,00020,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
00021,,00021,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
00022,,00022,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
00023,,00023,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
00030,,00030,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
