BOD,QUAT,,*,,,*,,*,,*,,,,,,
,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.007554321,1
0000,0,0.007554321,0,,,0,,0,,0,,,,,0.00642,24
0001,1,0.00642,1,0.026814321,,0,,0,,0,,,,,0.00642,24
0002,2,0.00642,2,,,0,,0,,0,,,,,0.00642,24
0003,3,0.00642,3,,,0,,0,,0,,,,,0.00642,24
0010,10,0.00642,0,,,1,,0,,0,,,,,0.00642,24
0011,11,0.00642,1,0.02568,,1,0.103854321,0,,0,,,,,0.00642,24
0012,,0.00642,2,,,1,,0,,0,,,,,0.00642,24
0013,,0.00642,3,,,1,,0,,0,,,,,0.00642,24
0020,,0.00642,0,,,2,,0,,0,,,,,0.00642,24
0021,,0.00642,1,0.02568,,2,,0,,0,,,,,0.00642,24
0022,,0.00642,2,,,2,,0,,0,,,,,0.00642,24
0023,,0.00642,3,,,2,,0,,0,,,,,0.00642,24
0030,,0.00642,0,,,3,,0,,0,,,,,0.00642,24
0031,,0.00642,1,0.02568,,3,,0,,0,,,,,0.00642,24
0032,,0.00642,2,,,3,,0,,0,,,,,0.00642,24
0033,,0.00642,3,,,3,,0,,0,,,,,0.00642,24
0100,,0.00642,0,,,0,,1,,0,,,,,0.00642,24
0101,,0.00642,1,0.02568,,0,,1,,0,,,,,0.00642,24
0102,,0.00642,2,,,0,,1,,0,,,,,0.00642,24
0103,,0.00642,3,,,0,,1,,0,,,,,0.00642,24
0110,,0.00642,0,,,1,,1,,0,,,,,0.00642,24
0111,,0.00642,1,0.02568,,1,0.09495,1,,0,,,,,0.00642,24
0112,,0.00642,2,,,1,,1,,0,,,,,0.00642,24
0113,,0.00642,3,,,1,,1,0.363224321,0,,,,,0.00642,24
0120,,0.00642,0,,,2,,1,,0,,,,,0.00531,34
0121,,0.00531,1,0.02235,,2,,1,,0,,,,,0.00531,34
0122,,0.00531,2,,,2,,1,,0,,,,,0.00531,34
0123,,0.00531,3,,,2,,1,,0,,,,,0.00531,34
0130,,0.00531,0,,,3,,1,,0,,,,,0.00531,34
0131,,0.00531,1,0.02124,,3,,1,,0,,,,,0.00531,34
0132,,0.00531,2,,,3,,1,,0,,,,,0.00531,34
0133,,0.00531,3,,,3,,1,,0,,,,,0.00531,34
0200,,0.00531,0,,,0,,2,,0,,,,,0.00531,34
0201,,0.00531,1,0.02124,,0,,2,,0,,,,,0.00531,34
0202,,0.00531,2,,,0,,2,,0,,,,,0.00531,34
0203,,0.00531,3,,,0,,2,,0,,,,,0.00531,34
0210,,0.00531,0,,,1,,2,,0,,,,,0.00531,34
0211,,0.00531,1,0.02124,,1,0.08496,2,,0,,,,,0.00531,34
0212,,0.00531,2,,,1,,2,,0,,,,,0.00531,34
0213,,0.00531,3,,,1,,2,,0,,,,,0.00531,34
0220,,0.00531,0,,,2,,2,,0,,,,,0.00531,34
0221,,0.00531,1,0.02124,,2,,2,,0,,,,,0.00531,34
0222,,0.00531,2,,,2,,2,,0,,,,,0.00531,34
0223,,0.00531,3,,,2,,2,,0,,,,,0.00531,34
0230,,0.00531,0,,,3,,2,,0,,,,,0.00531,34
0231,,0.00531,1,0.02124,,3,,2,,0,,,,,0.00531,34
0232,,0.00531,2,,,3,,2,,0,,,,,0.00531,34
0233,,0.00531,3,,,3,,2,,0,,,,,0.00531,34
0300,,0.00531,0,,,0,,3,,0,,,,,0.00531,34
0301,,0.00531,1,0.02124,,0,,3,,0,,,,,0.00531,34
0302,,0.00531,2,,,0,,3,,0,,,,,0.00531,34
0303,,0.00531,3,,,0,,3,,0,,,,,0.00531,34
0310,,0.00531,0,,,1,,3,,0,,,,,0.00531,34
0311,,0.00531,1,0.02124,,1,0.07946,3,,0,,,,,0.00531,34
0312,,0.00531,2,,,1,,3,,0,,,,,0.00531,34
0313,,0.00531,3,,,1,,3,,0,,,,,0.00531,34
0320,,0.00531,0,,,2,,3,,0,,,,,0.00531,34
0321,,0.00531,1,0.02014,,2,,3,,0,,,,,0.00531,34
0322,,0.00531,2,,,2,,3,,0,,,,,0.00421,17
0323,,0.00421,3,,,2,,3,,0,,,,,0.00421,17
0330,,0.00421,0,,,3,,3,,0,,,,,0.00421,17
0331,,0.00421,1,0.01684,,3,,3,,0,,,,,0.00421,17
0332,,0.00421,2,,,3,,3,,0,,,,,0.00421,17
0333,,0.00421,3,,,3,,3,,0,,,,,0.00421,17
1000,,0.00421,0,,,0,,0,,1,,,,,0.00421,17
1001,,0.00421,1,0.01684,,0,,0,,1,,,,,0.00421,17
1002,,0.00421,2,,,0,,0,,1,,,,,0.00421,17
1003,,0.00421,3,,,0,,0,,1,,,,,0.00421,17
1010,,0.00421,0,,,1,,0,,1,,,,,0.00421,17
1011,,0.00421,1,0.01684,,1,0.066822526,0,,1,,,,,0.00421,17
1012,,0.00421,2,,,1,,0,,1,,,,,0.00421,17
1013,,0.00421,3,,,1,,0,,1,,,,,0.00421,17
1020,,0.00421,0,,,2,,0,,1,,,,,0.00421,17
1021,,0.00421,1,0.01684,,2,,0,,1,,,,,0.00421,17
1022,,0.00421,2,,,2,,0,,1,,,,,0.00421,17
1023,,0.00421,3,,,2,,0,,1,,,,,0.0042099,1
1030,,0.0042099,0,,,3,,0,,1,,,,,0.004032669,1
1031,,0.004032669,1,0.016302526,,3,,0,,1,,,,,0.004030875,1
1032,,0.004030875,2,,,3,,0,,1,,,,,0.004029082,1
1033,,0.004029082,3,,,3,,0,,1,,,,,0.004027288,2
1100,,0.004027288,0,,,0,,1,,1,,,,,0.004027288,2
1101,,0.004027288,1,0.016100182,,0,,1,,1,,,,,0.0040237,1
1102,,0.0040237,2,,,0,,1,,1,,,,,0.004021906,1
1103,,0.004021906,3,,,0,,1,,1,,,,,0.004020112,1
1110,,0.004020112,0,,,1,,1,,1,,,,,0.004016524,1
1111,,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
1112,,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
1113,,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
1120,,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
1121,,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
1122,,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
1123,,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
1130,,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
1131,,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
1132,,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
1133,,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
1200,,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
1201,,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
1202,,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
1203,,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
1210,,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
1211,,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
1212,,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
1213,,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
1220,,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
1221,,0.003986028,1,0.015942318,,2,,2,,1,,,,,0.003986028,3
1222,,0.003986028,2,,,2,,2,,1,,,,,0.003984234,1
1223,,0.003984234,3,,,2,,2,,1,,,,,0.00398244,1
1230,,0.00398244,0,,,3,,2,,1,,,,,0.003978853,1
1231,,0.003978853,1,0.015906441,,3,,2,,1,,,,,0.003973471,1
1232,,0.003973471,2,,,3,,2,,1,,,,,0.003971677,1
1233,,0.003971677,3,,,3,,2,,1,,,,,0.003968089,1
1300,,0.003968089,0,,,0,,3,,1,,,,,0.003964501,1
