BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.007554321,1
0,0,10,0.007554321,0,,,0,,0,,0,,,,,0.00642,24
1,1,11,0.00642,1,0.026814321,,0,,0,,0,,,,,0.00642,24
20,2,12,0.00642,2,,,0,,0,,0,,,,,0.00642,24
21,3,13,0.00642,3,,,0,,0,,0,,,,,0.00642,24
22,10,20,0.00642,0,,,1,,0,,0,,,,,0.00642,24
23,11,21,0.00642,1,0.02568,,1,0.103854321,0,,0,,,,,0.00642,24
301,,22,0.00642,2,,,1,,0,,0,,,,,0.00642,24
302,,23,0.00642,3,,,1,,0,,0,,,,,0.00642,24
303,,30,0.00642,0,,,2,,0,,0,,,,,0.00642,24
3001,,31,0.00642,1,0.02568,,2,,0,,0,,,,,0.00642,24
3002,,32,0.00642,2,,,2,,0,,0,,,,,0.00642,24
3003,,33,0.00642,3,,,2,,0,,0,,,,,0.00642,24
30000,,30,0.00642,0,,,3,,0,,0,,,,,0.00642,24
30001,,31,0.00642,1,0.02568,,3,,0,,0,,,,,0.00642,24
30002,,32,0.00642,2,,,3,,0,,0,,,,,0.00642,24
30003,,33,0.00642,3,,,3,,0,,0,,,,,0.00642,24
3101,,110,0.00642,0,,,0,,1,,0,,,,,0.00642,24
3102,,111,0.00642,1,0.02568,,0,,1,,0,,,,,0.00642,24
3103,,112,0.00642,2,,,0,,1,,0,,,,,0.00642,24
31001,,113,0.00642,3,,,0,,1,,0,,,,,0.00642,24
31002,,120,0.00642,0,,,1,,1,,0,,,,,0.00642,24
31003,,121,0.00642,1,0.02568,,1,0.09495,1,,0,,,,,0.00642,24
310000,,122,0.00642,2,,,1,,1,,0,,,,,0.00642,24
310001,,123,0.00642,3,,,1,,1,0.363224321,0,,,,,0.00642,24
310002,,130,0.00642,0,,,2,,1,,0,,,,,0.00531,34
310003,,131,0.00531,1,0.02235,,2,,1,,0,,,,,0.00531,34
3111,,132,0.00531,2,,,2,,1,,0,,,,,0.00531,34
3112,,133,0.00531,3,,,2,,1,,0,,,,,0.00531,34
3113,,1010,0.00531,0,,,3,,1,,0,,,,,0.00531,34
31101,,1011,0.00531,1,0.02124,,3,,1,,0,,,,,0.00531,34
31102,,1012,0.00531,2,,,3,,1,,0,,,,,0.00531,34
31103,,1013,0.00531,3,,,3,,1,,0,,,,,0.00531,34
311000,,1020,0.00531,0,,,0,,2,,0,,,,,0.00531,34
311001,,1021,0.00531,1,0.02124,,0,,2,,0,,,,,0.00531,34
311002,,1022,0.00531,2,,,0,,2,,0,,,,,0.00531,34
311003,,1023,0.00531,3,,,0,,2,,0,,,,,0.00531,34
3121,,1030,0.00531,0,,,1,,2,,0,,,,,0.00531,34
3122,,1031,0.00531,1,0.02124,,1,0.08496,2,,0,,,,,0.00531,34
3123,,1032,0.00531,2,,,1,,2,,0,,,,,0.00531,34
31201,,1033,0.00531,3,,,1,,2,,0,,,,,0.00531,34
31202,,10000,0.00531,0,,,2,,2,,0,,,,,0.00531,34
31203,,10001,0.00531,1,0.02124,,2,,2,,0,,,,,0.00531,34
312000,,10002,0.00531,2,,,2,,2,,0,,,,,0.00531,34
312001,,10003,0.00531,3,,,2,,2,,0,,,,,0.00531,34
312002,,10010,0.00531,0,,,3,,2,,0,,,,,0.00531,34
312003,,10011,0.00531,1,0.02124,,3,,2,,0,,,,,0.00531,34
3131,,10012,0.00531,2,,,3,,2,,0,,,,,0.00531,34
3132,,10013,0.00531,3,,,3,,2,,0,,,,,0.00531,34
3133,,10020,0.00531,0,,,0,,3,,0,,,,,0.00531,34
31301,,10021,0.00531,1,0.02124,,0,,3,,0,,,,,0.00531,34
31302,,10022,0.00531,2,,,0,,3,,0,,,,,0.00531,34
31303,,10023,0.00531,3,,,0,,3,,0,,,,,0.00531,34
313000,,10030,0.00531,0,,,1,,3,,0,,,,,0.00531,34
313001,,10031,0.00531,1,0.02124,,1,0.07946,3,,0,,,,,0.00531,34
313002,,10032,0.00531,2,,,1,,3,,0,,,,,0.00531,34
313003,,10033,0.00531,3,,,1,,3,,0,,,,,0.00531,34
3201,,210,0.00531,0,,,2,,3,,0,,,,,0.00531,34
3202,,211,0.00531,1,0.02014,,2,,3,,0,,,,,0.00531,34
3203,,212,0.00531,2,,,2,,3,,0,,,,,0.00421,17
32001,,213,0.00421,3,,,2,,3,,0,,,,,0.00421,17
32002,,220,0.00421,0,,,3,,3,,0,,,,,0.00421,17
32003,,221,0.00421,1,0.01684,,3,,3,,0,,,,,0.00421,17
320000,,222,0.00421,2,,,3,,3,,0,,,,,0.00421,17
320001,,223,0.00421,3,,,3,,3,,0,,,,,0.00421,17
320002,,230,0.00421,0,,,0,,0,,1,,,,,0.00421,17
320003,,231,0.00421,1,0.01684,,0,,0,,1,,,,,0.00421,17
3211,,232,0.00421,2,,,0,,0,,1,,,,,0.00421,17
3212,,233,0.00421,3,,,0,,0,,1,,,,,0.00421,17
3213,,2010,0.00421,0,,,1,,0,,1,,,,,0.00421,17
32101,,2011,0.00421,1,0.01684,,1,0.066822526,0,,1,,,,,0.00421,17
32102,,2012,0.00421,2,,,1,,0,,1,,,,,0.00421,17
32103,,2013,0.00421,3,,,1,,0,,1,,,,,0.00421,17
321000,,2020,0.00421,0,,,2,,0,,1,,,,,0.00421,17
321001,,2021,0.00421,1,0.01684,,2,,0,,1,,,,,0.00421,17
321002,,2022,0.00421,2,,,2,,0,,1,,,,,0.00421,17
321003,,2023,0.00421,3,,,2,,0,,1,,,,,0.0042099,1
3221,,2030,0.0042099,0,,,3,,0,,1,,,,,0.004032669,1
3222,,2031,0.004032669,1,0.016302526,,3,,0,,1,,,,,0.004030875,1
3223,,2032,0.004030875,2,,,3,,0,,1,,,,,0.004029082,1
32201,,2033,0.004029082,3,,,3,,0,,1,,,,,0.004027288,2
32202,,20000,0.004027288,0,,,0,,1,,1,,,,,0.004027288,2
32203,,20001,0.004027288,1,0.016100182,,0,,1,,1,,,,,0.0040237,1
322000,,20002,0.0040237,2,,,0,,1,,1,,,,,0.004021906,1
322001,,20003,0.004021906,3,,,0,,1,,1,,,,,0.004020112,1
322002,,20010,0.004020112,0,,,1,,1,,1,,,,,0.004016524,1
322003,,20011,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
3231,,20012,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
3232,,20013,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
3233,,20020,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
32301,,20021,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
32302,,20022,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
32303,,20023,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
323000,,20030,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
323001,,20031,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
323002,,20032,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
323003,,20033,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
33001,,10,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
33002,,11,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
33003,,12,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
330001,,13,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
330002,,20,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
330003,,21,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
3300000,,22,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
3300001,,23,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
3300002,,30,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
