BOD,QUAT,,,*,,,*,,*,,*,,,,,,
,,,1,,1,,,1,,1,,1,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.007554321,1
10,0,10,0.007554321,0,,,0,,0,,0,,,,,0.00642,24
11,1,11,0.00642,1,0.026814321,,0,,0,,0,,,,,0.00642,24
12,2,12,0.00642,2,,,0,,0,,0,,,,,0.00642,24
13,3,13,0.00642,3,,,0,,0,,0,,,,,0.00642,24
030,10,20,0.00642,0,,,1,,0,,0,,,,,0.00642,24
031,11,21,0.00642,1,0.02568,,1,0.103854321,0,,0,,,,,0.00642,24
032,,22,0.00642,2,,,1,,0,,0,,,,,0.00642,24
033,,23,0.00642,3,,,1,,0,,0,,,,,0.00642,24
020,,30,0.00642,0,,,2,,0,,0,,,,,0.00642,24
021,,31,0.00642,1,0.02568,,2,,0,,0,,,,,0.00642,24
022,,32,0.00642,2,,,2,,0,,0,,,,,0.00642,24
023,,33,0.00642,3,,,2,,0,,0,,,,,0.00642,24
010,,30,0.00642,0,,,3,,0,,0,,,,,0.00642,24
011,,31,0.00642,1,0.02568,,3,,0,,0,,,,,0.00642,24
012,,32,0.00642,2,,,3,,0,,0,,,,,0.00642,24
013,,33,0.00642,3,,,3,,0,,0,,,,,0.00642,24
0010,,110,0.00642,0,,,0,,1,,0,,,,,0.00642,24
0011,,111,0.00642,1,0.02568,,0,,1,,0,,,,,0.00642,24
0012,,112,0.00642,2,,,0,,1,,0,,,,,0.00642,24
0013,,113,0.00642,3,,,0,,1,,0,,,,,0.00642,24
0030,,120,0.00642,0,,,1,,1,,0,,,,,0.00642,24
0031,,121,0.00642,1,0.02568,,1,0.09495,1,,0,,,,,0.00642,24
0032,,122,0.00642,2,,,1,,1,,0,,,,,0.00642,24
0033,,123,0.00642,3,,,1,,1,0.363224321,0,,,,,0.00642,24
0020,,130,0.00642,0,,,2,,1,,0,,,,,0.00531,34
0021,,131,0.00531,1,0.02235,,2,,1,,0,,,,,0.00531,34
0022,,132,0.00531,2,,,2,,1,,0,,,,,0.00531,34
0023,,133,0.00531,3,,,2,,1,,0,,,,,0.00531,34
00020,,1010,0.00531,0,,,3,,1,,0,,,,,0.00531,34
00021,,1011,0.00531,1,0.02124,,3,,1,,0,,,,,0.00531,34
00022,,1012,0.00531,2,,,3,,1,,0,,,,,0.00531,34
00023,,1013,0.00531,3,,,3,,1,,0,,,,,0.00531,34
00010,,1020,0.00531,0,,,0,,2,,0,,,,,0.00531,34
00011,,1021,0.00531,1,0.02124,,0,,2,,0,,,,,0.00531,34
00012,,1022,0.00531,2,,,0,,2,,0,,,,,0.00531,34
00013,,1023,0.00531,3,,,0,,2,,0,,,,,0.00531,34
00030,,1030,0.00531,0,,,1,,2,,0,,,,,0.00531,34
00031,,1031,0.00531,1,0.02124,,1,0.08496,2,,0,,,,,0.00531,34
00032,,1032,0.00531,2,,,1,,2,,0,,,,,0.00531,34
00033,,1033,0.00531,3,,,1,,2,,0,,,,,0.00531,34
000030,,10000,0.00531,0,,,2,,2,,0,,,,,0.00531,34
000031,,10001,0.00531,1,0.02124,,2,,2,,0,,,,,0.00531,34
000032,,10002,0.00531,2,,,2,,2,,0,,,,,0.00531,34
000033,,10003,0.00531,3,,,2,,2,,0,,,,,0.00531,34
000020,,10010,0.00531,0,,,3,,2,,0,,,,,0.00531,34
000021,,10011,0.00531,1,0.02124,,3,,2,,0,,,,,0.00531,34
000022,,10012,0.00531,2,,,3,,2,,0,,,,,0.00531,34
000023,,10013,0.00531,3,,,3,,2,,0,,,,,0.00531,34
000010,,10020,0.00531,0,,,0,,3,,0,,,,,0.00531,34
000011,,10021,0.00531,1,0.02124,,0,,3,,0,,,,,0.00531,34
000012,,10022,0.00531,2,,,0,,3,,0,,,,,0.00531,34
000013,,10023,0.00531,3,,,0,,3,,0,,,,,0.00531,34
0000020,,10030,0.00531,0,,,1,,3,,0,,,,,0.00531,34
0000021,,10031,0.00531,1,0.02124,,1,0.07946,3,,0,,,,,0.00531,34
0000022,,10032,0.00531,2,,,1,,3,,0,,,,,0.00531,34
0000023,,10033,0.00531,3,,,1,,3,,0,,,,,0.00531,34
0000010,,210,0.00531,0,,,2,,3,,0,,,,,0.00531,34
0000011,,211,0.00531,1,0.02014,,2,,3,,0,,,,,0.00531,34
0000012,,212,0.00531,2,,,2,,3,,0,,,,,0.00421,17
0000013,,213,0.00421,3,,,2,,3,,0,,,,,0.00421,17
0000030,,220,0.00421,0,,,3,,3,,0,,,,,0.00421,17
0000031,,221,0.00421,1,0.01684,,3,,3,,0,,,,,0.00421,17
0000032,,222,0.00421,2,,,3,,3,,0,,,,,0.00421,17
0000033,,223,0.00421,3,,,3,,3,,0,,,,,0.00421,17
00000020,,230,0.00421,0,,,0,,0,,1,,,,,0.00421,17
00000021,,231,0.00421,1,0.01684,,0,,0,,1,,,,,0.00421,17
00000022,,232,0.00421,2,,,0,,0,,1,,,,,0.00421,17
00000023,,233,0.00421,3,,,0,,0,,1,,,,,0.00421,17
00000010,,2010,0.00421,0,,,1,,0,,1,,,,,0.00421,17
00000011,,2011,0.00421,1,0.01684,,1,0.066822526,0,,1,,,,,0.00421,17
00000012,,2012,0.00421,2,,,1,,0,,1,,,,,0.00421,17
00000013,,2013,0.00421,3,,,1,,0,,1,,,,,0.00421,17
00000030,,2020,0.00421,0,,,2,,0,,1,,,,,0.00421,17
00000031,,2021,0.00421,1,0.01684,,2,,0,,1,,,,,0.00421,17
00000032,,2022,0.00421,2,,,2,,0,,1,,,,,0.00421,17
00000033,,2023,0.00421,3,,,2,,0,,1,,,,,0.0042099,1
000000010,,2030,0.0042099,0,,,3,,0,,1,,,,,0.004032669,1
000000011,,2031,0.004032669,1,0.016302526,,3,,0,,1,,,,,0.004030875,1
000000012,,2032,0.004030875,2,,,3,,0,,1,,,,,0.004029082,1
000000013,,2033,0.004029082,3,,,3,,0,,1,,,,,0.004027288,2
000000000,,20000,0.004027288,0,,,0,,1,,1,,,,,0.004027288,2
000000001,,20001,0.004027288,1,0.016100182,,0,,1,,1,,,,,0.0040237,1
000000002,,20002,0.0040237,2,,,0,,1,,1,,,,,0.004021906,1
000000003,,20003,0.004021906,3,,,0,,1,,1,,,,,0.004020112,1
000000020,,20010,0.004020112,0,,,1,,1,,1,,,,,0.004016524,1
000000021,,20011,0.004016524,1,0.016062509,,1,0.064176487,1,,1,,,,,0.00401473,1
000000022,,20012,0.00401473,2,,,1,,1,,1,,,,,0.004011143,1
000000023,,20013,0.004011143,3,,,1,,1,0.258080121,1,,,,,0.004009349,1
000000030,,20020,0.004009349,0,,,2,,1,,1,,,,,0.004003967,1
000000031,,20021,0.004003967,1,0.016015868,,2,,1,,1,,,,,0.004002173,1
000000032,,20022,0.004002173,2,,,2,,1,,1,,,,,0.004000379,3
000000033,,20023,0.004000379,3,,,2,,1,,1,,,,,0.004000379,3
210,,20030,0.004000379,0,,,3,,1,,1,,,,,0.004000379,3
211,,20031,0.004000379,1,0.015997928,,3,,1,,1,,,,,0.003998585,2
212,,20032,0.003998585,2,,,3,,1,,1,,,,,0.003998585,2
213,,20033,0.003998585,3,,,3,,1,,1,1,,,,0.003996792,1
220,,10,0.003996792,0,,,0,,2,,1,,,,,0.003994998,3
221,,11,0.003994998,1,0.015981786,,0,,2,,1,,,,,0.003994998,3
222,,12,0.003994998,2,,,0,,2,,1,,,,,0.003994998,3
223,,13,0.003994998,3,,,0,,2,,1,,,,,0.003993204,1
230,,20,0.003993204,0,,,1,,2,,1,,,,,0.003989616,1
231,,21,0.003989616,1,0.015958464,,1,0.063789009,2,,1,,,,,0.003987822,2
232,,22,0.003987822,2,,,1,,2,,1,,,,,0.003987822,2
233,,23,0.003987822,3,,,1,,2,,1,,,,,0.003986028,3
2010,,30,0.003986028,0,,,2,,2,,1,,,,,0.003986028,3
